Crop,N,P,K,pH,rainfall,temperature
bittergourd,60,10,20,6.331971570439958,2791.885784811216,27.99073148841968
grapes,20,125,200,3.9435221950573665,782.415048035444,25.93512894097536
cauliflower,80,70,50,6.616845751449864,1109.6287669476628,28.739880144089735
coriander,10,20,20,6.628875822838616,1123.1644614225067,28.456204507015116
cotton,120,40,20,5.619456314372109,477.03139811827407,33.894938970707955
bittergourd,60,10,20,6.613322600101749,874.9802218282955,27.711620388367468
brinjal,80,15,40,6.423138412053635,2879.0079283310324,28.189900753181394
onion,120,60,65,6.12,556.2,28.54545455
sweetpotato,90,20,120,4.9870344846487304,1079.681689641104,28.240578775591192
rice,80,40,40,5.64,297.66,29.56666667
cardamom,75,75,150,5.162122101621107,1411.6621522923663,23.288270324617475
papaya,50,50,50,6.080474962167891,1066.3860440111982,18.611888492940448
cotton,120,40,20,5.68,579.75,34.01
maize,80,40,20,5.404961840836013,267.3818090024684,30.178408830483196
cardamom,75,75,150,4.890265776035186,680.8846048237212,27.662332680247125
cardamom,75,75,150,5.007669484248226,2622.5750169646312,27.50411590369246
onion,120,60,65,6.14,157.31,25.83333333
drumstick,40,20,10,6.668875060334983,2492.0661623822057,27.922003992434423
banana,100,75,50,6.410141216675823,2168.6913209971804,23.756898680569368
cabbage,100,65,70,6.629113790363306,1116.6829170601113,28.752174376942083
drumstick,40,20,10,6.577900850677707,2890.2698246142513,27.918885191615427
jowar,80,40,40,5.62,790.98,30.61666667
tomato,100,40,90,5.958394180032956,1094.1740362748026,28.553346539885347
mango,20,20,30,5.009143630462085,1610.9361508678141,23.250634729442773
cucumber,60,60,85,6.434049393389925,1036.0844326827844,28.02193134479278
radish,25,100,50,5.808912396780727,1356.536959439454,26.056131239675533
radish,25,100,50,5.985453206778548,860.6244247074966,27.712851489483075
brinjal,80,15,40,6.469832068732693,1144.5970913664544,28.42853820839591
jackfruit,75,40,50,4.855919567246473,1131.650004323315,27.67604979195762
coriander,10,20,20,6.498076935898205,1080.9809838855426,28.038402745638578
garlic,50,10,60,5.386413119173129,1057.091519494696,28.37183936960222
coriander,10,20,20,6.6,1603.2375,22.89090909
grapes,20,125,200,3.8352680779819175,659.4485006570075,26.67088801700215
jackfruit,75,40,50,4.906081769216656,1486.1985072771256,25.951977296545852
onion,120,60,65,5.843868188964482,729.7983679309904,29.79639762440997
cauliflower,80,70,50,6.534878408826166,1093.1401892413737,28.739880144089735
pumpkin,80,50,30,5.577384703253817,885.8400723856289,27.640671268654962
blackpepper,100,60,50,4.908127113735455,2109.407438670742,24.122924491797857
pineapple,160,40,120,6.469938528165162,931.3177067309813,27.67728228490815
jowar,80,40,40,5.310670925947227,1043.6087842623824,30.178598081998217
tomato,100,40,90,5.999200547276387,976.8259089901563,27.959950492465143
radish,25,100,50,5.937468853004124,1344.0218224241714,26.078705808902946
coriander,10,20,20,6.47573941614136,867.7093000269359,27.406451179469574
cucumber,60,60,85,6.462279041518747,882.3624643916891,27.825900646774823
drumstick,40,20,10,6.486153789484997,2822.8144049851608,27.895386896492248
banana,100,75,50,6.3328526066198725,1500.9912334008932,22.424585957287253
onion,120,60,65,5.86,689.88,29.03727273
pumpkin,80,50,30,5.420755133299292,886.639389958147,27.62454545
potato,180,60,90,4.845456200423255,1071.3601976890202,28.457587743677845
jowar,80,40,40,5.379200235304061,961.3598330348613,29.66123250843346
bittergourd,60,10,20,6.440804109384626,799.9102023595366,27.668118569099565
drumstick,40,20,10,6.64,2817.86,27.90909091
cauliflower,80,70,50,6.329940930243384,1093.3991988165626,28.31574956236746
maize,80,40,20,5.36,654.34,29.26666667
cotton,120,40,20,5.366596321890689,363.27911521451375,33.58849978322229
cardamom,75,75,150,5.1439940296349995,2832.7097891804706,28.061462884041934
radish,25,100,50,5.859742004183758,860.3450938302939,27.739452189578262
cucumber,60,60,85,6.637074301276871,952.8258570314872,28.942489134966145
maize,80,40,20,5.58,1875.6,20.1
cucumber,60,60,85,6.511371803419156,947.9607786340442,28.866726857577984
mango,20,20,30,4.918506241071433,1339.9136085037594,25.93872708046357
onion,120,60,65,6.071353708871451,1139.7610032524215,24.00358549166866
garlic,50,10,60,5.347356442117264,1259.0069588715962,26.97746605408725
sweetpotato,90,20,120,4.9,1111.68,28.64818182
radish,25,100,50,6.084316803733813,1374.1799061697063,25.99381252532725
soyabean,20,60,20,5.337580662668286,675.9741364181812,26.92206581832963
coriander,10,20,20,6.3344554220195075,884.7284303329428,26.96394160233632
banana,100,75,50,6.435677129091539,1553.451764742287,23.189452977054483
potato,180,60,90,4.868552567946041,1311.2760226312341,27.22102341817902
rice,80,40,40,5.54,331.88,35.34666667
blackpepper,100,60,50,5.0606478407491515,951.1163061398611,28.198366720990315
bottlegourd,100,50,50,6.353272358650366,984.7298782066636,28.848894551294688
bittergourd,60,10,20,6.442896334449668,927.1742378750904,27.382683660209775
sunflower,50,60,30,5.639065361459615,84.25523602223865,21.608548421625738
sunflower,50,60,30,5.36,579.75,34.01
grapes,20,125,200,4.171357044339984,901.847685922731,28.23101216941381
radish,25,100,50,5.914642776472652,1350.5008161333978,26.08469717742339
maize,80,40,20,5.36,98.98,34.92333333
jackfruit,75,40,50,4.845510281474527,1263.5971105910478,25.980231871805408
blackpepper,100,60,50,4.838129344942843,2968.426471688405,27.939240259125796
blackpepper,100,60,50,5.189809041393889,1677.6554437221985,22.31295614854066
grapes,20,125,200,3.879917298323679,921.474141731511,28.884862090395185
cauliflower,80,70,50,6.594843865706442,1122.2636418476243,28.739880144089735
brinjal,80,15,40,6.565535649111502,979.9477989937659,29.096100466349885
jute,80,40,40,5.6858479498298635,969.7330480587358,30.553983757593983
potato,180,60,90,4.861082185959368,724.2518582185655,30.72414911416684
banana,100,75,50,6.327288944420518,884.6858504116487,29.588593193358392
tomato,100,40,90,5.810080746808904,1072.2374845705071,28.530289509236933
orange,20,10,10,3.9148597416594684,826.6848251261572,27.619819966831383
cucumber,60,60,85,6.3408443278982105,932.0632612414101,28.97279842352027
sweetpotato,90,20,120,5.18,2817.86,27.90909091
coriander,10,20,20,6.66,1111.68,28.64818182
jackfruit,75,40,50,5.036873058640199,2561.5476275066167,27.837943430334224
blackpepper,100,60,50,5.035505778298755,2751.9621897398833,27.490644784460066
ladyfinger,80,10,40,6.5081375373932895,1064.915761814814,28.63306022337717
blackpepper,100,60,50,5.1379015327663025,2196.931561088854,24.123990484889298
soyabean,20,60,20,5.424321149142408,1261.82229206038,22.586931749409935
orange,20,10,10,3.9200240262401467,959.642903526357,27.94722734033343
bittergourd,60,10,20,6.663545632920334,1246.7214111641267,25.93694883337077
soyabean,20,60,20,5.47605308434108,610.5773502908705,21.495285001619997
tomato,100,40,90,5.881343906204815,741.0960107862679,26.48200996172478
jackfruit,75,40,50,4.823007191268801,810.8248176032819,27.766140353167362
cardamom,75,75,150,4.984678127119353,2763.8194581739194,27.713801097783485
bittergourd,60,10,20,6.636297642493441,1153.1560313674095,27.681502661290335
sweetpotato,90,20,120,4.887131429378808,2032.0412551818636,23.911006103105414
maize,80,40,20,5.36,1543.76,27.33333333
potato,180,60,90,5.121302849478351,850.9589448659725,28.39675964688069
mango,20,20,30,5.142508421524669,463.23565538162813,28.16826245800484
jute,80,40,40,5.673999808365951,1505.3328398366486,27.62068408070614
jute,80,40,40,5.320994243767043,222.98457644594546,25.79321165293206
cauliflower,80,70,50,6.398568131009525,876.497235682139,27.795804347068046
cotton,120,40,20,5.58,1246.715,22.6
blackpepper,100,60,50,5.070957903076165,769.9197414588981,27.19003006303616
potato,180,60,90,5.12,35.214,22.70909091
brinjal,80,15,40,6.348311517907518,1025.6126112690001,28.005165690778213
rice,80,40,40,5.64,167.38,23.56
potato,180,60,90,5.08,1026.64,29.18636364
maize,80,40,20,5.52,34.81,34.66666667
brinjal,80,15,40,6.350203104134711,1066.204328682531,27.923961472151717
ladyfinger,80,10,40,6.509143115288089,1488.8036056394344,25.941518163669393
grapes,20,125,200,3.9209482447092436,773.9942239544446,26.58139586984679
sunflower,50,60,30,5.64,167.38,23.56
coriander,10,20,20,6.351283345026194,634.1390721817875,29.094766598470777
jackfruit,75,40,50,5.067432038099402,2680.7894699516723,27.837997236245734
cardamom,75,75,150,5.190480289976304,2773.1704893773845,28.123779953086036
coriander,10,20,20,6.54,240.1,10.38
jute,80,40,40,5.434877061845014,472.40675281948484,21.183036785844266
radish,25,100,50,5.980880093952618,1374.1799061697063,25.933275080421737
orange,20,10,10,4.111020906435839,919.6815511737738,29.094704067354844
bittergourd,60,10,20,6.445266112926602,1305.1519029213052,25.97506951367361
jowar,80,40,40,5.56,840.46,33.58333333
banana,100,75,50,6.416485930067759,1674.059287210528,23.39344236174285
pineapple,160,40,120,6.523232269510631,816.4744084833425,27.3292683686307
coriander,10,20,20,6.620790014679196,1086.6604688264104,28.761735954347778
drumstick,40,20,10,6.624539373293688,796.8847042978455,27.641632367565578
sunflower,50,60,30,5.54,37.09,27.96666667
garlic,50,10,60,5.52,1111.68,28.64818182
drumstick,40,20,10,6.414982609180574,1055.156681541797,27.641632367565578
onion,120,60,65,5.82,689.88,29.03727273
cotton,120,40,20,5.629231626844887,577.3241470115826,34.466768198907374
potato,180,60,90,4.829471848752372,59.244385055424814,23.35691696851656
pumpkin,80,50,30,5.328874453821148,887.1535,27.68454545
ladyfinger,80,10,40,6.51961346744797,874.2063680134671,29.056768104558063
grapes,20,125,200,3.9588043325784894,594.1486618083693,28.98284669130503
pumpkin,80,50,30,5.491823725496187,882.6903311867205,27.62454545
coriander,10,20,20,6.462785929847699,1588.6374869991807,22.486515119577305
jowar,80,40,40,5.385724613287611,469.1128555657901,33.27653180927137
cotton,120,40,20,5.510620086701287,271.9662357427877,30.127333508250437
cauliflower,80,70,50,6.625992050949969,1112.8889411329699,28.667053143432867
onion,120,60,65,6.16,1426.3,26.73636364
mango,20,20,30,4.880982567805001,854.6958554486473,27.11874618940947
grapes,20,125,200,4.1436047559578535,797.0992875078887,26.603369956837867
blackpepper,100,60,50,5.129693669513627,2864.7226972730855,27.71857754002144
rice,80,40,40,5.32,87.2,23.106
cardamom,75,75,150,5.023587330558085,2692.257987860525,27.793053868260905
jute,80,40,40,5.3090620840666505,273.65640411405616,26.86713572207388
coriander,10,20,20,6.6,1299.26,26.51818182
maize,80,40,20,5.38,510.05,33.37333333
blackpepper,100,60,50,5.010178509747371,1572.0509976593617,21.94383565851595
coriander,10,20,20,6.58,942.8,28.99454545
orange,20,10,10,4.162631286613409,1053.7983160958697,27.853322756712622
rice,80,40,40,5.44,1145.22,28.5
cabbage,100,65,70,6.599032883370824,1355.4352964796487,25.92891608545294
potato,180,60,90,5.150218199045206,2260.031304958991,23.48061143331976
radish,25,100,50,5.808468549138363,1341.9794035359826,26.080739909985635
orange,20,10,10,3.967674571004906,2227.135174873843,24.431359361852575
maize,80,40,20,5.48,1246.715,22.6
cardamom,75,75,150,5.009830722936538,1592.9056361645169,23.202598885025864
tomato,100,40,90,6.148472391840065,919.3162362646831,29.087767061828295
rice,80,40,40,5.48,167.38,23.56
radish,25,100,50,5.9747407568982585,878.1088873390854,27.631039265856792
cardamom,75,75,150,4.829746050275315,1617.9238466583215,22.676220046913965
onion,120,60,65,6.06,654.34,29.26666667
onion,120,60,65,5.919073384155023,2211.9257802832635,24.83265121956978
orange,20,10,10,3.9309979163399005,852.9127524112808,27.559075267514878
brinjal,80,15,40,6.521965447863858,1436.6251473587786,25.94788214116789
jackfruit,75,40,50,5.097690850663349,908.718013036108,27.73739185346472
sunflower,50,60,30,5.502443363079747,131.02478904745192,34.22346085809557
radish,25,100,50,6.116541463479939,865.3870175936664,27.542073913455607
tomato,100,40,90,5.943710661548614,1116.917564419498,28.051221000832587
ladyfinger,80,10,40,6.634622294613272,1225.934758879865,28.64600659864019
bottlegourd,100,50,50,6.613217867410931,1330.084197279116,26.003364507135206
garlic,50,10,60,5.4466776762200375,565.5888388135421,28.3812838401031
sweetpotato,90,20,120,4.979418638365087,2217.9282857836497,24.173662516884256
jute,80,40,40,5.40572689237218,465.0386102834681,22.035136988571573
sunflower,50,60,30,5.36,70.11,25.6
rice,80,40,40,5.5,235.4251,26.64666667
bottlegourd,100,50,50,6.506194258198021,868.9172426822145,27.61273082817144
cucumber,60,60,85,6.617529805771504,949.3711117822517,29.05886429699848
jackfruit,75,40,50,5.0082967821170765,834.7674773480569,27.826437390385404
banana,100,75,50,6.616833090444228,777.4891391718562,26.0479394342196
cauliflower,80,70,50,6.432589174995813,1164.4747937698041,28.478397339647287
cotton,120,40,20,5.395693337428816,267.1091270343319,29.087545649081274
maize,80,40,20,5.32,510.05,33.37333333
cabbage,100,65,70,6.614136447435894,967.7716050304668,29.06269084674821
onion,120,60,65,5.9458401048996965,1068.039448982507,29.379702751765
garlic,50,10,60,5.386623852251368,1428.0307410598473,26.299400668989634
brinjal,80,15,40,6.620782866646425,1128.2613936669616,28.290063833417435
radish,25,100,50,6.131531450861638,860.3450938302939,27.675116396351758
garlic,50,10,60,5.636777962253013,510.6036375440831,29.117420797965472
mango,20,20,30,5.180569732226034,1457.0711824070236,22.827138998389326
jackfruit,75,40,50,4.88491175013809,2898.1928005300706,27.975295433454146
grapes,20,125,200,3.9607477621528817,694.142843836163,26.79217702153266
radish,25,100,50,6.096869525677922,861.770626801735,27.337433580157988
potato,180,60,90,4.92,810.26,29.95636364
cucumber,60,60,85,6.449563829435816,903.7756725777539,27.64570882803362
soyabean,20,60,20,5.471964790756938,607.4232495594808,27.48787462619033
orange,20,10,10,3.8740722582107923,2169.779469746937,23.506441458642783
bittergourd,60,10,20,6.435984804803744,2902.4497976404637,27.82146859586061
blackpepper,100,60,50,4.862030559856669,2533.9860125293435,28.21867077185369
bittergourd,60,10,20,6.454838842334608,799.9102023595366,27.625900875156944
tomato,100,40,90,6.017646561289305,949.4492737692145,27.681362349044925
pineapple,160,40,120,6.419380760015477,2130.193121514677,23.698895651373057
drumstick,40,20,10,6.648960971748104,2732.055459079189,27.905003736338013
cabbage,100,65,70,6.397799392859468,1362.8119219683028,26.22905642040032
bottlegourd,100,50,50,6.58075666752319,908.7011120081003,27.605899546455884
garlic,50,10,60,5.325503377155544,644.6535657880945,28.97919363401462
mango,20,20,30,4.970321663317244,1263.7928383383392,28.8607732746834
bittergourd,60,10,20,6.466699081228334,1091.2355855233686,27.666253632803954
cotton,120,40,20,5.615571335373132,680.1547905579695,33.92897638686537
brinjal,80,15,40,6.36,942.8,28.99454545
rice,80,40,40,5.34,331.88,35.34666667
orange,20,10,10,4.13594045548848,2114.6214270304954,24.28030532641788
grapes,20,125,200,4.01181073671447,1074.4841475936387,28.438809042690355
orange,20,10,10,3.9287476830414745,934.2975223349113,29.224467631357218
sunflower,50,60,30,5.480619019422785,77.49261877718921,28.317593084130042
sunflower,50,60,30,5.386013166300661,562.7418389862585,33.9033623450803
blackpepper,100,60,50,5.191529320202293,1469.1324591229172,23.083599394929944
jute,80,40,40,5.3090620840666505,969.4463976228323,29.59015315769487
tomato,100,40,90,6.0778766591112,1560.0898699674315,23.267142828526268
banana,100,75,50,6.647103735132602,965.2011667594888,29.483126513211815
papaya,50,50,50,6.018869397685402,1566.4834290031656,22.925234862876376
pineapple,160,40,120,6.620669280234387,1069.9323004208063,18.49629243946688
cabbage,100,65,70,6.5609717443094615,1046.2040781601365,27.888200218558797
jute,80,40,40,5.3994155842935125,1201.6499384399017,28.88200131669303
jowar,80,40,40,5.62,1246.715,22.6
pumpkin,80,50,30,5.64968178077178,881.8465,27.68454545
sunflower,50,60,30,5.64,297.66,29.56666667
blackpepper,100,60,50,5.122607362093757,2820.798478564386,28.449052900751347
coriander,10,20,20,6.662795710126822,1023.5212280960043,28.16216357168765
cauliflower,80,70,50,6.43894466259497,896.036470023134,27.729139715885474
jute,80,40,40,5.346552703799431,1116.3025581001127,27.62277150623252
jackfruit,75,40,50,4.888102826244784,2722.3140154535163,27.795546155166626
garlic,50,10,60,5.653723656752537,653.8916506412043,28.88909301463837
grapes,20,125,200,3.9473065936059277,688.7729619766537,29.17409297985941
radish,25,100,50,6.043055182196175,1279.1363416984577,26.09483315516818
mango,20,20,30,4.9169498109248275,1129.0288927481167,26.231214721636764
jackfruit,75,40,50,5.05742282906752,2898.1928005300706,27.928496669927103
grapes,20,125,200,3.868872575104925,1638.4765460958106,22.887884261748322
banana,100,75,50,6.353931777540346,2290.0986819665245,23.55864628102777
potato,180,60,90,5.1,689.88,29.03727273
banana,100,75,50,6.38,1111.68,28.64818182
banana,100,75,50,6.37130131087904,892.6174442959235,29.57492670657209
jute,80,40,40,5.407369171221831,1553.7519627210713,26.917268345813486
mango,20,20,30,5.191950324531587,1530.6532333499351,22.923972900781926
brinjal,80,15,40,6.672165235908392,1020.0364216548677,28.24288321829789
orange,20,10,10,4.142996372078067,2066.94647569028,23.978782953736864
brinjal,80,15,40,6.421814305398981,1314.555430842309,28.349047584470117
blackpepper,100,60,50,5.099595804155944,2815.0855498690353,28.970466518753387
cabbage,100,65,70,6.584109056132123,1025.967295148151,27.941527683750785
bottlegourd,100,50,50,6.451281859936079,1035.2839910856733,27.987412936958155
sunflower,50,60,30,5.541960258451103,132.61427974041158,21.86114350111944
blackpepper,100,60,50,5.086678957674354,2938.4409791404255,27.092995290898923
cardamom,75,75,150,5.190480289976304,2905.0192256976356,27.537141702865387
cotton,120,40,20,5.691117120958349,770.4999704144632,30.62544080159016
sweetpotato,90,20,120,5.06,1426.3,26.73636364
tomato,100,40,90,6.092151841418175,1065.1841937834809,28.64754246702969
radish,25,100,50,5.961274642218077,1344.6427828121489,25.933275080421737
papaya,50,50,50,6.024198045667522,1310.709999132105,26.218069362441465
bittergourd,60,10,20,6.418839779059527,799.9102023595366,27.72912221369035
sweetpotato,90,20,120,5.008702649480982,1141.87211468844,28.476466128634897
sunflower,50,60,30,5.490997887919451,122.81947075754954,26.0474813222245
potato,180,60,90,4.938984746141855,613.7299060246332,27.732480735424026
cardamom,75,75,150,5.046684107978123,990.0101144976286,27.717191065453623
rice,80,40,40,5.64,1543.76,27.33333333
tomato,100,40,90,6.067339766705711,1129.5823906489397,28.839951637662526
radish,25,100,50,5.839458808247477,870.6079138356031,27.69425346235429
sweetpotato,90,20,120,5.039628657890308,1188.6723564638405,28.3630122208347
pineapple,160,40,120,6.683330416847551,816.4744084833425,27.30314001154187
pumpkin,80,50,30,5.596995048257125,881.8465,27.62454545
cucumber,60,60,85,6.406071019379727,945.3513333671756,28.87029689975913
papaya,50,50,50,5.978383248768274,1049.1220214491784,28.51141809012482
mango,20,20,30,5.001106162544995,1145.219777839474,28.827684781099087
onion,120,60,65,5.88,810.26,29.95636364
soyabean,20,60,20,5.669426291192441,1098.8973745752266,28.001262176097654
maize,80,40,20,5.6,1151.02,28.03333333
orange,20,10,10,3.8807537520830637,2227.135174873843,23.870157407497185
mango,20,20,30,5.086133735143904,1478.9061983001443,26.222909806131216
jackfruit,75,40,50,5.100277418504163,950.2465823964153,27.65536229652081
rice,80,40,40,5.38,1110.78,25.66666667
potato,180,60,90,4.891337026340954,2298.620894544956,26.28061607442894
sunflower,50,60,30,5.422666040480355,61.60335320612366,25.794983514860657
ladyfinger,80,10,40,6.5014941638478385,878.7857336903851,27.636052427964763
jackfruit,75,40,50,4.896839868698562,1405.1416178823574,25.97084265950686
cabbage,100,65,70,6.346578130592644,916.5289764626519,27.253117393647983
cauliflower,80,70,50,6.350165443422743,1116.3708859419085,28.600226590796193
brinjal,80,15,40,6.53380444670249,1194.808169160699,28.666963431714198
sunflower,50,60,30,5.46,162.72,29.4
sweetpotato,90,20,120,4.901701749709498,649.6444830485519,33.718571523471375
coriander,10,20,20,6.506806365934828,1120.2937894392217,28.605075132781863
soyabean,20,60,20,5.345880549844243,1070.470659439444,30.0449164261289
coriander,10,20,20,6.447055328561075,253.56879772557102,10.053245418542813
banana,100,75,50,6.497337352945107,913.4708333324869,29.989092322935186
banana,100,75,50,6.621276579049171,674.9124511912875,29.051977018009286
cabbage,100,65,70,6.658617365487407,1332.3716573348288,26.1075518170962
grapes,20,125,200,4.055042372594546,1546.2542643806712,23.37551402564279
banana,100,75,50,6.430825332184905,801.2184748617283,27.90872028616668
grapes,20,125,200,3.914179158802779,749.1480171074427,26.43014873508488
ladyfinger,80,10,40,6.685577111092178,881.7361026008663,28.896095754960257
drumstick,40,20,10,6.516333667876114,874.744751685007,27.641632367565578
cauliflower,80,70,50,6.61032812225565,1113.0053452586078,28.739880144089735
cauliflower,80,70,50,6.418055719542201,915.5445964430388,27.625202055979976
bittergourd,60,10,20,6.418047177525497,2762.658482874637,27.99073148841968
brinjal,80,15,40,6.639711696170411,1015.9269259297006,27.75699617342152
coriander,10,20,20,6.66,1111.68,28.64818182
onion,120,60,65,6.04,75.32,22.676
cucumber,60,60,85,6.522669156072266,885.7910242169306,27.604545102320532
brinjal,80,15,40,6.430658885265009,1174.9065775698275,28.025795535318974
blackpepper,100,60,50,5.086144102674949,2837.318513391097,28.26552791972119
jute,80,40,40,5.394984459505496,1209.9156252682317,26.641646932161198
cardamom,75,75,150,5.025548526930422,224.57089445033176,26.619109727816973
banana,100,75,50,6.655035576929624,1925.4610158438052,23.370939267711908
rice,80,40,40,5.42,654.34,29.26666667
jackfruit,75,40,50,4.970433475152023,872.4552540474992,27.681836960763004
sunflower,50,60,30,5.46,1246.715,22.6
garlic,50,10,60,5.42,1111.68,28.64818182
cauliflower,80,70,50,6.623656660168446,870.6702299036111,27.821682752589993
onion,120,60,65,6.037671395144048,1260.3644165143182,22.419357052017126
cotton,120,40,20,5.363125006342279,1177.917998676082,27.56339121926921
soyabean,20,60,20,5.392824599969825,454.0384540337158,33.77206919986119
cardamom,75,75,150,5.047042651001991,157.55172862232553,26.463011712828127
bottlegourd,100,50,50,6.424099768078786,875.0706921153397,27.519770794353324
banana,100,75,50,6.5305578813356835,1093.4338675465303,29.258816948791935
grapes,20,125,200,4.035929974526179,1027.7828408830987,28.849881962542753
mango,20,20,30,4.882706336476226,975.3636657672796,27.80907041241284
cauliflower,80,70,50,6.66,1111.68,28.64818182
jowar,80,40,40,5.622766599061904,1214.6553963841136,23.143983848858074
orange,20,10,10,3.87140756842534,1186.7558900573142,29.224467631357218
banana,100,75,50,6.371705977358874,1591.3092101988923,24.00297839412268
potato,180,60,90,4.9908664714820095,163.22565634429,26.74845135281091
coriander,10,20,20,6.646965861055844,1213.9455357743018,28.04643196578628
sweetpotato,90,20,120,5.000595177702232,2125.8811642294318,24.535280920902732
maize,80,40,20,5.6,1246.715,22.6
rice,80,40,40,5.62,182.5,29.2
jackfruit,75,40,50,4.997327277848248,804.1671994699295,27.64619570639397
orange,20,10,10,4.034184160514016,2227.135174873843,24.523059906569323
jowar,80,40,40,5.6,654.34,29.26666667
pineapple,160,40,120,6.475525094384182,816.4744084833425,27.997934030700723
banana,100,75,50,6.38,2169.32,23.73636364
pineapple,160,40,120,6.3683316953008156,2172.2466850349892,23.638063700529422
rice,80,40,40,5.54,127.68,20.8
pineapple,160,40,120,6.574588352871662,1313.2109552062625,26.154498729327305
banana,100,75,50,6.48,884.5,27.65454545
cardamom,75,75,150,5.141995350593734,2640.6478475541253,27.866644297675794
garlic,50,10,60,5.52439542741345,920.9946949405669,27.948029757837777
orange,20,10,10,4.191705795189804,2098.0402086810327,23.506441458642783
sweetpotato,90,20,120,5.068366071513738,1082.7649509983776,29.198654115128008
orange,20,10,10,3.9692818678598987,2227.135174873843,23.568870720360284
cardamom,75,75,150,5.030992217742641,974.3181135298665,28.123779953086036
soyabean,20,60,20,5.382376389310675,362.80590590462265,21.000574733479343
soyabean,20,60,20,5.448627968952884,571.2794358378338,26.041506666837286
orange,20,10,10,4.134102118898735,2190.484337150697,23.987542213034914
cotton,120,40,20,5.676908322367592,1507.2753190651315,27.415193138632212
cucumber,60,60,85,6.471825789785095,946.13261756371,29.060185015049086
brinjal,80,15,40,6.362995581022868,1069.2223875405982,29.041235818713186
bottlegourd,100,50,50,6.414738592108262,885.5546870011578,27.799373602286487
tomato,100,40,90,5.939098062470004,1518.3214014490652,22.694502641359897
papaya,50,50,50,6.047936679869579,2066.2442445620877,24.14997162269273
cotton,120,40,20,5.3697007591771815,464.6148076686551,33.12398759575401
potato,180,60,90,5.0,1111.68,28.64818182
onion,120,60,65,5.88349809436924,1132.908973298903,29.145926681750012
jute,80,40,40,5.429284267941249,824.397021946173,33.013774426733825
banana,100,75,50,6.358716037152319,2099.093594773972,24.155905174917187
maize,80,40,20,5.58,579.75,34.01
jute,80,40,40,5.335119498577544,793.5650005689201,33.949605257315525
pumpkin,80,50,30,5.513951188697001,885.368993638508,27.68454545
mango,20,20,30,5.166736491427223,1651.1059662115222,22.829112694420974
bottlegourd,100,50,50,6.309789397164888,1042.958432187548,28.161276288245816
pineapple,160,40,120,6.3101033028042375,2852.694438723583,27.712380275865474
radish,25,100,50,5.823065884438395,1374.1799061697063,25.933275080421737
soyabean,20,60,20,5.5662646343971085,574.7629309928227,28.994067736951468
jackfruit,75,40,50,4.809360328276724,948.3743883517753,27.696400890422574
blackpepper,100,60,50,5.090660103842282,2705.7477157671565,27.974860453929274
pumpkin,80,50,30,5.553355325896654,881.8465,27.66817320422284
cabbage,100,65,70,6.626643197188045,1137.5152713463688,28.69887273885803
mango,20,20,30,4.996643347321076,1094.8282378750412,28.4076090731219
bittergourd,60,10,20,6.649178765294878,1405.5378418273474,26.054454783285482
tomato,100,40,90,5.8612605278533785,976.1812260042719,29.190951898640105
cotton,120,40,20,5.608770491309464,317.70174926612947,34.41758920885967
cabbage,100,65,70,6.386980384365981,908.6520413938031,27.846613766531966
ladyfinger,80,10,40,6.464677737793933,1112.249826417408,28.66351989573147
bittergourd,60,10,20,6.564422524094502,2783.9415606565763,27.56828716087662
bittergourd,60,10,20,6.672230681608706,1317.6456532017469,26.007241672403982
jute,80,40,40,5.38,1011.49,30.43
orange,20,10,10,4.157900161877874,1179.7617363120307,28.551562081384056
potato,180,60,90,4.832143106498975,678.4398412224509,26.13358565374242
tomato,100,40,90,6.157550834404467,698.8388702742288,26.331301305585985
pumpkin,80,50,30,5.540564075895481,883.933492314071,27.62454545
cauliflower,80,70,50,6.585836605236354,1098.911937974422,28.588273545286757
jowar,80,40,40,5.368750599525971,1097.7633056404597,28.29105332497547
orange,20,10,10,4.04078041133519,2171.0008729967235,24.26007019551802
maize,80,40,20,5.42,654.34,29.26666667
cardamom,75,75,150,5.106528560693865,2841.1820925214265,28.07541233772894
banana,100,75,50,6.575438022740018,2227.5594969550893,22.981047694191183
rice,80,40,40,5.42,98.98,34.92333333
sweetpotato,90,20,120,5.19075685603189,1003.3796237635665,29.37248761131657
blackpepper,100,60,50,5.190755021933253,1562.353277609943,22.52783498387951
coriander,10,20,20,6.457082394041105,1637.144205016385,22.752987857821488
cardamom,75,75,150,4.836652564228539,1593.2394994614315,22.87082614185726
cabbage,100,65,70,6.6578531332257445,1351.921594271687,25.963688116164313
cucumber,60,60,85,6.488079092748804,955.7134463466826,28.945307576370823
cotton,120,40,20,5.54,1603.2375,22.89090909
jackfruit,75,40,50,4.819894377625117,1284.7942516724204,25.957004699127612
mango,20,20,30,4.923482406040475,1182.6818612396985,28.045444904678167
papaya,50,50,50,5.818121409977234,2813.8468991635136,28.18608488950605
grapes,20,125,200,3.8086429556600163,1034.157739331852,28.02031584558689
maize,80,40,20,5.4,87.2,23.106
bottlegourd,100,50,50,6.419031965401995,868.9172426822145,27.5658064573287
mango,20,20,30,4.922323767684747,1149.0819290903653,28.8949948703158
rice,80,40,40,5.42,297.66,29.56666667
mango,20,20,30,5.170845397675716,1669.4865467059244,22.69336275402503
blackpepper,100,60,50,5.166148162515178,1730.9081821547818,23.002938616512477
cabbage,100,65,70,6.653397462277523,1345.058317845518,26.065978282369294
